video_path,Course,Hole,club,distance,shot_geo,outcome_geo,Backswing_time,Downswing_time,tempo
HS_bali.mp4,Bali International,4,8 iron,147,"-8.809042, 115.215608","-8.809582, 115.214569",0.98,0.27,3.63
CM_range.mp4,Range,,7 iron,167,"51.47246656925062, -0.26245888879876444","51.47373322350028, -0.2616007371418615",0.77,0.32,2.41
MJR_range.mp4,Range,,Driver,270,"51.63098877674118, -0.016448304797809815","51.632721, -0.015514",0.32,0.18,1.78
AM_sawgrass.mp4,TPC Sawgrass,16,3 wood,200,"30.193721068981432, -81.39013205956064","30.194719522736975, -81.39069389264685",0.67,0.48,1.40
